Nummer;Ländercode;Swiss Location ID;DiDok-Code;Prüfziffer;Bezeichnung Offiziell;Status Haltestellenname;Haltestellentyp;Type d'arrêt;Stop Type;Tipo di fermata;Bezeichnung Lang;Abkürzung;Betriebspunkt des Fahrplans;Bedienpunkt;Geschäftsorganisation Nummer;Geschäftsorganisation Abkürzung;Geschäftsorganisation Name;ISO-Ländercode;Typ reiner Betriebspunkt;Verkehrsmittel;Moyen de transport;Mezzi di trasporto;Means of Transport;Kanton;Gemeinde;Gemeindenummer BFS;Ortschaft;Swiss Business Organisation ID;BAV Kommentar;E-Koordinate;N-Koordinate;Höhe über Meer;Link auf Karte
88961;85;ch:1:sloid:88961;8588961;8;Abtwil SG, Ausserdorf;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;ABAU;*;;885;VBSG;Verkehrsbetriebe der Stadt St.Gallen;CH;;Bus;BUS;BUS;BUS;SG;Gaiserwald;3442;Abtwil SG;ch:1:sboid:100684;;2741557.0;1253868.0;645.0;47.4203906378703, 9.314710633198464
94113;85;ch:1:sloid:94113;8594113;8;Grenchen, Eigerweg;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;894;BGU;Busbetrieb Grenchen und Umgebung;CH;;Bus;BUS;BUS;BUS;SO;Grenchen;2546;Grenchen;ch:1:sboid:100693;;2597347.0;1226722.999;443.0;47.19144935340743, 7.403621272859281
88968;85;ch:1:sloid:88968;8588968;3;Därligen, Bahnhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;DABF;*;;801;PAG;PostAuto AG;CH;;Bus;BUS;BUS;BUS;BE;Därligen;575;Därligen;ch:1:sboid:100602;;2628769.0;1167675.0;564.0;46.65969044814447, 7.81451199816902
94139;85;ch:1:sloid:94139;8594139;3;Grenchen, Ringstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;894;BGU;Busbetrieb Grenchen und Umgebung;CH;;Bus;BUS;BUS;BUS;SO;Grenchen;2546;Grenchen;ch:1:sboid:100693;;2597965.0;1227246.999;462.0;47.19616484148512, 7.411773452164282
88975;85;ch:1:sloid:88975;8588975;8;Castagnola, S. Grato;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;955;TPL;Trasporti Pubblici Luganesi SA;CH;;Bus;BUS;BUS;BUS;TI;Lugano;5192;Castagnola;ch:1:sboid:100754;;2719732.85203;1095686.72714;359.0;46.00212650998878, 8.98425777822023
94112;85;ch:1:sloid:94112;8594112;0;Grenchen, Eichholz;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;894;BGU;Busbetrieb Grenchen und Umgebung;CH;;Bus;BUS;BUS;BUS;SO;Grenchen;2546;Grenchen;ch:1:sboid:100693;;2596275.0;1226041.999;466.0;47.185318656567205, 7.389481765602426
88988;85;ch:1:sloid:88988;8588988;1;Bern, Aegertenstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;827;SVB Auto;Städtische Verkehrsbetriebe Bern;CH;;Bus;BUS;BUS;BUS;BE;Bern;351;Bern;ch:1:sboid:100626;;2600681.0;1198798.0;520.0;46.940270290343754, 7.447576509049718
94149;85;ch:1:sloid:94149;8594149;2;Grenchen, Weinbergstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;894;BGU;Busbetrieb Grenchen und Umgebung;CH;;Bus;BUS;BUS;BUS;SO;Grenchen;2546;Grenchen;ch:1:sboid:100693;;2595892.0;1227044.999;477.0;47.1943380436193, 7.384419273901387
89008;85;ch:1:sloid:89008;8589008;7;Bern, Wyleregg;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;827;SVB Auto;Städtische Verkehrsbetriebe Bern;CH;;Bus;BUS;BUS;BUS;BE;Bern;351;Bern;ch:1:sboid:100626;;2600783.0;1201099.0;555.0;46.96096808019188, 7.44891972221013
94142;85;ch:1:sloid:94142;8594142;7;Grenchen, Schönegg;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;894;BGU;Busbetrieb Grenchen und Umgebung;CH;;Bus;BUS;BUS;BUS;SO;Grenchen;2546;Grenchen;ch:1:sboid:100693;;2596441.0;1227717.999;519.0;47.20039472275386, 7.391658399064917
88983;85;ch:1:sloid:88983;8588983;2;Renens VD, gare sud;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;151;TL;Transports Publics de la Région Lausannoise sa;CH;;Bus;BUS;BUS;BUS;VD;Renens (VD);5591;Renens VD;ch:1:sboid:100122;;2534082.0;1154287.0;413.0;46.5366185621219, 6.579348969785698
94158;85;ch:1:sloid:94158;8594158;3;Frenkendorf, Friedhof;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;811;AAGL;Autobus AG Liestal;CH;;Bus;BUS;BUS;BUS;BL;Frenkendorf;2824;Frenkendorf;ch:1:sboid:100610;;2620910.0;1262162.0;312.0;47.50987384136548, 7.716188408781897
89018;85;ch:1:sloid:89018;8589018;6;Bolligen, Rüttelerweg;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;850;RBS Auto;Autobusbetrieb RBS;CH;;Bus;BUS;BUS;BUS;BE;Bolligen;352;Bolligen;ch:1:sboid:100649;;2605071.0;1203500.0;660.0;46.98254694890265, 7.505284199851
94162;85;ch:1:sloid:94162;8594162;5;Oberwil BL, Rohrhagstrasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;37;BLT;Baselland Transport;CH;;Bus;BUS;BUS;BUS;BL;Oberwil (BL);2771;Oberwil BL;ch:1:sboid:100019;;2609583.0;1262911.0;306.0;47.516871955094594, 7.565846609319732
89017;85;ch:1:sloid:89017;8589017;8;Bolligen, Reckholtern;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;850;RBS Auto;Autobusbetrieb RBS;CH;;Bus;BUS;BUS;BUS;BE;Bolligen;352;Bolligen;ch:1:sboid:100649;;2604531.0;1203292.0;617.0;46.980679814523796, 7.498184493685293
93939;85;ch:1:sloid:93939;8593939;7;Montreux, rue du Centre;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;Montreux;5886;Montreux;ch:1:sboid:100675;;2559383.95498;1143145.48834;420.0;46.438414723670135, 6.910146599555091
89016;85;ch:1:sloid:89016;8589016;0;Bolligen, Stampachgasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;850;RBS Auto;Autobusbetrieb RBS;CH;;Bus;BUS;BUS;BUS;BE;Bolligen;352;Bolligen;ch:1:sboid:100649;;2603994.0;1203144.0;602.0;46.97935192927907, 7.4911252287855215
93942;85;ch:1:sloid:93942;8593942;1;Montreux, Théâtre Mtx Riviera;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;Montreux, Théâtre Montreux Riviera;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;Montreux;5886;Montreux;ch:1:sboid:100675;;2559785.998;1142654.238;429.0;46.43402002204693, 6.915420550057938
88996;85;ch:1:sloid:88996;8588996;4;Bern, Lorraine;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;827;SVB Auto;Städtische Verkehrsbetriebe Bern;CH;;Bus;BUS;BUS;BUS;BE;Bern;351;Bern;ch:1:sboid:100626;;2600635.0;1200724.0;540.0;46.95759503776271, 7.44697475388735
93952;85;ch:1:sloid:93952;8593952;0;La Tour-de-Peilz, Bel-Air;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;La Tour-de-Peilz;5889;La Tour-de-Peilz;ch:1:sboid:100675;;2555730.6;1144935.8;401.0;46.45428736136108, 6.862439409855262
89022;85;ch:1:sloid:89022;8589022;8;Bremgarten BE, Kalchacker;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;850;RBS Auto;Autobusbetrieb RBS;CH;;Bus;BUS;BUS;BUS;BE;Bremgarten bei Bern;353;Bremgarten b. Bern;ch:1:sboid:100649;;2599946.0;1202713.0;521.0;46.975486611372816, 7.437922315264599
93959;85;ch:1:sloid:93959;8593959;5;La Tour-de-Peilz, Faraz;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;876;VMCV;Transports publics Vevey-Montreux-Chillon-Villeneuve;CH;;Bus;BUS;BUS;BUS;VD;La Tour-de-Peilz;5889;La Tour-de-Peilz;ch:1:sboid:100675;;2556093.0;1144999.0;414.0;46.454879769233976, 6.867150162267473
89039;85;ch:1:sloid:89039;8589039;2;Reichenbach b. B., Känelgasse;Validiert;Ordentliche Haltestelle;Arrêt ordinaire;ORDERLY;Fermata ordinaria;;;*;;850;RBS Auto;Autobusbetrieb RBS;CH;;Bus;BUS;BUS;BUS;BE;Zollikofen;361;Zollikofen;ch:1:sboid:100649;;2600537.0;1204290.0;525.0;46.98967176584476, 7.445690907251898
